operacion,tipo,long,lat,m2total,direccion,calle,altura,cambio,preciotex,preciousd,precioars,preciousdm,precioarsm,barrio,comuna,codigo_postal,codigo_postal_argentino
VTA,TERRENO,-58.38729477,-34.61654663,327.0,Luis Saenz Peâ”œÃ¢â”¬â–’a 700,Luis Saenz Pe,700,36.4,U$S 690000,690000.0,25116000.0,2110.091743,76807.33945,MONTSERRAT,1.0,1406,C1406GJL
VTA,TERRENO,-58.45254517,-34.62390137,590.0,Yerbal 1600,Yerbal ,1600,36.4,U$S 1250000,1250000.0,45500000.0,2118.644068,77118.644068,CABALLITO,6.0,1417,C1417BWF
VTA,TERRENO,-58.510850899999994,-34.6184402,246.0,BERMUDEZ 2200,BERMUDEZ ,2200,36.4,U$S 320000,320000.0,11648000.0,1300.813008,47349.593496,MONTE CASTRO,10.0,1440,C1440CUQ
VTA,TERRENO,-58.502509100000005,-34.6511588,133.0,Avenida Larrazabal 1200,Avenida Larrazabal ,1200,36.4,U$S 287000,287000.0,10446800.0,2157.894737,78547.368421,MATADEROS,9.0,1440,C1440CAN
VTA,TERRENO,-58.5139176,-34.6549411,180.0,pizarro 6966,pizarro ,6966,36.4,U$S 260000,260000.0,9464000.0,1444.444444,52577.777777999996,MATADEROS,9.0,1417,C1417BWV
VTA,TERRENO,-58.5180406,-34.6130499,822.0,Bermâ”œÃ¢â”¬â•‘dez 2980,Berm,2980,36.4,U$S 1800000,1800000.0,65520000.0,2189.7810219999997,79708.029197,VILLA DEVOTO,11.0,1408,C1408FDV
VTA,TERRENO,-58.5120664,-34.6468482,146.0,ACASSUSO 6200,ACASSUSO ,6200,36.4,U$S 300000,300000.0,10920000.0,2054.7945210000003,74794.520548,LINIERS,9.0,1419,C1419HUP
VTA,TERRENO,-58.5174965,-34.6081597,859.0,Navarro 4700,Navarro ,4700,36.4,U$S 1900000,1900000.0,69160000.0,2211.874272,80512.223516,VILLA DEVOTO,11.0,1416,C1416BBR
VTA,TERRENO,-58.4842989433,-34.6123144426,286.0,Helguera 1800  Entre San Blas y  Garcâ”œÃ¢â”¬Â¡a Agustâ”œÃ¢â”¬Â¡n,Helguera ,1800,36.4,U$S 635000,635000.0,23114000.0,2220.27972,80818.181818,VILLA SANTA RITA,11.0,1419,C1419AOV
VTA,TERRENO,-58.514308426458996,-34.586739274098,382.0,Concordia 5200,Concordia ,5200,36.4,U$S 400000,400000.0,14560000.0,1047.1204189999999,38115.183246,VILLA DEVOTO,11.0,,
VTA,TERRENO,-58.517541,-34.643444,77.0,Palmar 6400,Palmar ,6400,36.4,U$S 172000,172000.0,6260800.0,2233.766234,81309.090909,LINIERS,9.0,1416,C1416CLH
